SUBURB,BOX-CODE,STR-CODE,AREA,
AMELIA,,1949,ZAMDELA,
AMERSFOORT,2490,2490,AMERSFOORT,
AMERVILLE,,6960,FRASERBURG,
AMOROSA,1725,1724,ROODEPOORT,
AMOROSA EXT 14,1725,1724,ROODEPOORT,
AMOROSA UIT 14,1725,1724,ROODEPOORT,
AMOROSA EXT 7,1725,1724,ROODEPOORT,
AMOROSA UIT 7,1725,1724,ROODEPOORT,
AMSTELHOF,,7646,PAARL,
AMSTERDAM,2375,2375,ERMELO,
AMSTERDAMHOEK,,6210,SWARTKOPS,
ANCHORAGE,4960,,BUTTERWORTH,
ANCHORAGE PARK,,7140,GORDON'S BAY,
ANCHORVILLE,1829,1827,LENASIA,
ANDALUSIA PARK,8550,8550,JAN KEMPDORP,
ANDALUSIAPARK,8550,8550,JAN KEMPDORP,
ANDE,5090,,MOUNT FRERE,
ANDEON,,0183,PRETORIA,
ANDEON AH,,0183,PRETORIA,
ANDEON EXT 1,,0183,PRETORIA,
ANDEON UIT 1,,0183,PRETORIA,
ANDEON EXT 15,0030,0082,PRETORIA,
ANDEON UIT 15,0030,0082,PRETORIA,
ANDEON EXT 2,,0183,PRETORIA,
ANDEON UIT 2,,0183,PRETORIA,
ANDEON EXT 3,,0183,PRETORIA,
ANDEON UIT 3,,0183,PRETORIA,
ANDEON EXT 4,,0183,PRETORIA,
ANDEON UIT 4,,0183,PRETORIA,
ANDEON EXT 5,,0183,PRETORIA,
ANDEON UIT 5,,0183,PRETORIA,
ANDEON EXT 6,,0183,PRETORIA,
ANDEON UIT 6,,0183,PRETORIA,
ANDERBOLT,,1459,BOKSBURG,
ANDERSONVILLE,,6529,GEORGE,
ANDERWORD,,1911,VANDERBIJLPARK,
ANERLEY,4230,,ANERLEY,
ANNADALE,,0699,POLOKWANE,
ANNANDALE,,7580,KUILSRIVIER,
ANNANDALE,3080,,DANNHAUSER,
ANNANDALE VILLAGE,,7441,MILNERTON,
ANNATY BANK,,7945,TOKAI,
ANNEX PARK,1402,,GERMISTON,
ANNIEVILLE,3080,,DANNHAUSER,
ANNLIN,0066,0182,PRETORIA NORTH,
ANNLIN EXT,,0182,PRETORIA NORTH,
ANNLIN UIT,,0182,PRETORIA NORTH,
ANNLIN EXT 1,,0182,PRETORIA NORTH,
ANNLIN UIT 1,,0182,PRETORIA NORTH,
ANNLIN EXT 107,,0182,PRETORIA NORTH,
ANNLIN UIT 107,,0182,PRETORIA NORTH,
ANNLIN EXT 108,0066,0182,PRETORIA NORTH,
ANNLIN UIT 108,0066,0182,PRETORIA NORTH,
ANNLIN EXT 110,,0182,PRETORIA NORTH,
ANNLIN UIT 110,,0182,PRETORIA NORTH,
ANNLIN EXT 112,0129,0182,PRETORIA NORTH,
ANNLIN UIT 112,0129,0182,PRETORIA NORTH,
ANNLIN EXT 13,,0182,PRETORIA NORTH,
ANNLIN UIT 13,,0182,PRETORIA NORTH,
ANNLIN EXT 145,0066,0182,PRETORIA NORTH,
ANNLIN UIT 145,0066,0182,PRETORIA NORTH,
ANNLIN EXT 15,,0182,PRETORIA NORTH,
ANNLIN UIT 15,,0182,PRETORIA NORTH,
